what;when;with;where;why
Facultad de matemáticas | Pontificia Universidad Católica, Chile;2020;2020;Santiago, Chile;Diplomado en Ciencia de Datos (150 hrs.)
Instituto de Sociología | Pontificia Universidad Católica, Chile;2019 - 2020;Instituo de Sociología PUC;Santiago, Chile;Análisis de Datos Longitudinales (33 hrs.)
Instituto de Sociología | Pontificia Universidad Católica, Chile;2019;;Santiago, Chile;Manejo Eficiente de Datos con STATA (25 hrs.)
Centre for Experimental Social Sciences (CESS), Chile;2019;Centre for Experimental Social Sciences (CESS). ;Santiago, Chile;Escuela de Métodos Experimentales (90 hrs.)
DUOC UC, Chile;2009 - 2012;DUOC UC;Santiago, Chile;Técnico en Administración de empresas (Titulado)
