what;when;with;where;why
Iniciativa Multidisciplinaria para la Investigación en Resistencia Bacteriana;2019;;;Microb-R, Chile. Acceso: https://microb-r.org/
Sociedad Chilena de Estadística;2022;;;Soche, Chile. Acceso: https://soche.cl/ 
